"filename", "language", "JavaScript", "XML", "CSS", "JSON", "Markdown", "Gemfile", "HTML", "Ruby", "YAML", "erb", "comment", "blank", "total"
"/Users/kolt/Development/Capstone/gabbys-salsa/config/puma.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 28, 8, 44
"/Users/kolt/Development/Capstone/gabbys-salsa/config/routes.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12, 13, 37
"/Users/kolt/Development/Capstone/gabbys-salsa/config/spring.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/Users/kolt/Development/Capstone/gabbys-salsa/config/storage.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 23, 6, 35
"/Users/kolt/Development/Capstone/gabbys-salsa/db/migrate/20211102210618_create_users.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"/Users/kolt/Development/Capstone/gabbys-salsa/db/migrate/20211102210707_create_products.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/kolt/Development/Capstone/gabbys-salsa/db/schema.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 12, 6, 40
"/Users/kolt/Development/Capstone/gabbys-salsa/db/seeds.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 3, 14
"/Users/kolt/Development/Capstone/gabbys-salsa/package-lock.json", "JSON", 0, 0, 0, 1073, 0, 0, 0, 0, 0, 0, 0, 1, 1074
"/Users/kolt/Development/Capstone/gabbys-salsa/package.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/kolt/Development/Capstone/gabbys-salsa/public/asset-manifest.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"/Users/kolt/Development/Capstone/gabbys-salsa/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/kolt/Development/Capstone/gabbys-salsa/public/manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/kolt/Development/Capstone/gabbys-salsa/public/static/css/main.a617e044.chunk.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/kolt/Development/Capstone/gabbys-salsa/public/static/js/2.1e7d00c8.chunk.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"/Users/kolt/Development/Capstone/gabbys-salsa/public/static/js/3.172c47e3.chunk.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/kolt/Development/Capstone/gabbys-salsa/public/static/js/main.c779a3a6.chunk.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/kolt/Development/Capstone/gabbys-salsa/public/static/js/runtime-main.6a5a3d62.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/kolt/Development/Capstone/gabbys-salsa/public/static/media/logo.6ce24c58.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 705, 2, 438, 39375, 51, 17, 29, 297, 31, 13, 442, 410, 41810
